	A,After,All,Although,American,An,And,think,this,thought,time,to,told,ought,place,see,seen,shall,should,so,no,not,of,on,one,or,took,upon,was,we,were,what,struck,that,the,there,these,they,me,meeting,must,my,myself,never,is,it,know,long,man,may,he,her,him,his,if,in,and,are,as,at,be,been,for,from,give,had,has,have,God,He,His,History,How,I,when,will,with,would,you,your,As,At,But,Court,Even,For,From,by,can,certain,could,do,doubt,first,University,a,all,also,am,an
A	0,0,103463,103463,104250,104250,105226,105226,115521,115521,98999,98999,122244,122244,101661,101661,448048,448048,271060,271060,115110,115110,121571,121571,95062,95062,105279,105279,105538,105538,250074,250074,99779,99779,107894,107894,139350,139350,2416180,2416180,112298,112298,595697,595697,107176,107176,115199,115199,243137,243137,108127,108127,124156,124156,116595,116595,111337,111337,109378,109378,167453,167453,162585,162585,153226,153226,123116,123116,181704,181704,153116,153116,154532,154532,1247086,1247086,130112,130112,92789,92789,106103,106103,121693,121693,232563,232563,127700,127700,1522792,1522792,155219,155219,109760,109760,120723,120723,115579,115579,139141,139141,267195,267195,170769,170769,233490,233490,116851,116851,137122,137122,117143,117143,123155,123155,124875,124875,424739,424739,116607,116607,127272,127272,152979,152979,121082,121082,1270300,1270300,403449,403449,989079,989079,98058,98058,109983,109983,115780,115780,234499,234499,131956,131956,128364,128364,124271,124271,118422,118422,122645,122645,126681,126681,131967,131967,1450997,1450997,1418620,1418620,129771,129771,111204,111204,136740,136740,132809,132809,135247,135247,122592,122592,136227,136227,474463,474463,133648,133648,137318,137318,138099,138099,206636,206636,133316,133316,119662,119662,128816,128816,122785,122785,133538,133538,135471,135471,167883,167883,205978,205978,110472,110472
After	0,0,103463,103463,104250,104250,105226,105226,115521,115521,98999,98999,122244,122244,101661,101661,448048,448048,271060,271060,115110,115110,121571,121571,95062,95062,105279,105279,105538,105538,250074,250074,99779,99779,107894,107894,139350,139350,2416180,2416180,112298,112298,595697,595697,107176,107176,115199,115199,243137,243137,108127,108127,124156,124156,116595,116595,111337,111337,109378,109378,167453,167453,162585,162585,153226,153226,123116,123116,181704,181704,153116,153116,154532,154532,1247086,1247086,130112,130112,92789,92789,106103,106103,121693,121693,232563,232563,127700,127700,1522792,1522792,155219,155219,109760,109760,120723,120723,115579,115579,139141,139141,267195,267195,170769,170769,233490,233490,116851,116851,137122,137122,117143,117143,123155,123155,124875,124875,424739,424739,116607,116607,127272,127272,152979,152979,121082,121082,1270300,1270300,403449,403449,989079,989079,98058,98058,109983,109983,115780,115780,234499,234499,131956,131956,128364,128364,124271,124271,118422,118422,122645,122645,126681,126681,131967,131967,1450997,1450997,1418620,1418620,129771,129771,111204,111204,136740,136740,132809,132809,135247,135247,122592,122592,136227,136227,474463,474463,133648,133648,137318,137318,138099,138099,206636,206636,133316,133316,119662,119662,128816,128816,122785,122785,133538,133538,135471,135471,167883,167883,205978,205978,110472,110472
All	103463,103463,0,0,27785,27785,31399,31399,48636,48636,22300,22300,86317,86317,76474,76474,442977,442977,282765,282765,27677,27677,30366,30366,34019,34019,34736,34736,44861,44861,280065,280065,32918,32918,28313,28313,55035,55035,2490567,2490567,41011,41011,661466,661466,27919,27919,37336,37336,218704,218704,42652,42652,176329,176329,40438,40438,43606,43606,58667,58667,108770,108770,100836,100836,112477,112477,53767,53767,102289,102289,77847,77847,90811,90811,1167209,1167209,71383,71383,72556,72556,30598,30598,44858,44858,191362,191362,45485,45485,1496005,1496005,92930,92930,38329,38329,60156,60156,50326,50326,59406,59406,307312,307312,151178,151178,202925,202925,42974,42974,53637,53637,48348,48348,51806,51806,39176,39176,416854,416854,43506,43506,64033,64033,85518,85518,44861,44861,1206915,1206915,359488,359488,1065416,1065416,54899,54899,45246,45246,28827,28827,161748,161748,66435,66435,49483,49483,47612,47612,48099,48099,47174,47174,57170,57170,65742,65742,1439524,1439524,1499345,1499345,74218,74218,31845,31845,59311,59311,60476,60476,100814,100814,45295,45295,73052,73052,511080,511080,62545,62545,56259,56259,58320,58320,189351,189351,58399,58399,32925,32925,48019,48019,40244,40244,56653,56653,89218,89218,85048,85048,160831,160831,36699,36699
Although	103463,103463,0,0,27785,27785,31399,31399,48636,48636,22300,22300,86317,86317,76474,76474,442977,442977,282765,282765,27677,27677,30366,30366,34019,34019,34736,34736,44861,44861,280065,280065,32918,32918,28313,28313,55035,55035,2490567,2490567,41011,41011,661466,661466,27919,27919,37336,37336,218704,218704,42652,42652,176329,176329,40438,40438,43606,43606,58667,58667,108770,108770,100836,100836,112477,112477,53767,53767,102289,102289,77847,77847,90811,90811,1167209,1167209,71383,71383,72556,72556,30598,30598,44858,44858,191362,191362,45485,45485,1496005,1496005,92930,92930,38329,38329,60156,60156,50326,50326,59406,59406,307312,307312,151178,151178,202925,202925,42974,42974,53637,53637,48348,48348,51806,51806,39176,39176,416854,416854,43506,43506,64033,64033,85518,85518,44861,44861,1206915,1206915,359488,359488,1065416,1065416,54899,54899,45246,45246,28827,28827,161748,161748,66435,66435,49483,49483,47612,47612,48099,48099,47174,47174,57170,57170,65742,65742,1439524,1439524,1499345,1499345,74218,74218,31845,31845,59311,59311,60476,60476,100814,100814,45295,45295,73052,73052,511080,511080,62545,62545,56259,56259,58320,58320,189351,189351,58399,58399,32925,32925,48019,48019,40244,40244,56653,56653,89218,89218,85048,85048,160831,160831,36699,36699
American	104250,104250,27785,27785,0,0,35308,35308,57425,57425,30373,30373,81426,81426,87837,87837,460832,460832,276044,276044,37720,37720,42675,42675,41956,41956,44967,44967,45738,45738,286952,286952,39995,39995,38814,38814,56240,56240,2483674,2483674,49930,49930,663015,663015,33060,33060,38359,38359,229459,229459,44809,44809,185758,185758,47969,47969,48123,48123,66568,66568,110009,110009,112745,112745,119350,119350,58602,58602,108390,108390,82288,82288,91088,91088,1171824,1171824,84392,84392,80251,80251,42007,42007,52995,52995,207259,207259,56244,56244,1502012,1502012,106367,106367,44604,44604,69753,69753,56461,56461,64635,64635,305559,305559,152871,152871,207090,207090,50339,50339,60452,60452,55079,55079,52941,52941,46493,46493,431549,431549,46117,46117,69452,69452,88337,88337,49394,49394,1207250,1207250,355809,355809,1058187,1058187,68004,68004,50435,50435,34804,34804,167295,167295,75568,75568,55236,55236,51637,51637,49294,49294,49749,49749,57665,57665,74105,74105,1443051,1443051,1493750,1493750,76219,76219,31976,31976,62954,62954,62193,62193,101587,101587,59634,59634,90139,90139,505595,505595,65412,65412,61794,61794,63399,63399,198152,198152,63136,63136,38196,38196,52558,52558,36171,36171,60406,60406,102539,102539,92735,92735,162584,162584,39614,39614
An	104250,104250,27785,27785,0,0,35308,35308,57425,57425,30373,30373,81426,81426,87837,87837,460832,460832,276044,276044,37720,37720,42675,42675,41956,41956,44967,44967,45738,45738,286952,286952,39995,39995,38814,38814,56240,56240,2483674,2483674,49930,49930,663015,663015,33060,33060,38359,38359,229459,229459,44809,44809,185758,185758,47969,47969,48123,48123,66568,66568,110009,110009,112745,112745,119350,119350,58602,58602,108390,108390,82288,82288,91088,91088,1171824,1171824,84392,84392,80251,80251,42007,42007,52995,52995,207259,207259,56244,56244,1502012,1502012,106367,106367,44604,44604,69753,69753,56461,56461,64635,64635,305559,305559,152871,152871,207090,207090,50339,50339,60452,60452,55079,55079,52941,52941,46493,46493,431549,431549,46117,46117,69452,69452,88337,88337,49394,49394,1207250,1207250,355809,355809,1058187,1058187,68004,68004,50435,50435,34804,34804,167295,167295,75568,75568,55236,55236,51637,51637,49294,49294,49749,49749,57665,57665,74105,74105,1443051,1443051,1493750,1493750,76219,76219,31976,31976,62954,62954,62193,62193,101587,101587,59634,59634,90139,90139,505595,505595,65412,65412,61794,61794,63399,63399,198152,198152,63136,63136,38196,38196,52558,52558,36171,36171,60406,60406,102539,102539,92735,92735,162584,162584,39614,39614
And	105226,105226,31399,31399,35308,35308,0,0,52397,52397,34021,34021,84510,84510,77379,77379,451238,451238,273156,273156,37946,37946,46651,46651,42604,42604,37099,37099,56764,56764,280530,280530,41951,41951,34732,34732,65592,65592,2481276,2481276,48384,48384,658501,658501,43896,43896,44629,44629,221653,221653,49881,49881,178280,178280,50789,50789,54949,54949,64834,64834,118693,118693,105313,105313,112758,112758,67108,67108,113200,113200,96558,96558,106928,106928,1175942,1175942,73724,73724,71983,71983,45967,45967,58159,58159,201945,201945,59582,59582,1505752,1505752,113599,113599,53126,53126,77843,77843,63673,63673,72315,72315,306047,306047,144639,144639,209646,209646,57825,57825,65670,65670,58129,58129,68745,68745,52161,52161,418887,418887,57373,57373,80852,80852,94861,94861,60664,60664,1208014,1208014,372437,372437,1065445,1065445,57152,57152,53951,53951,40988,40988,172921,172921,66202,66202,63558,63558,59401,59401,58230,58230,59767,59767,65581,65581,65495,65495,1430983,1430983,1498294,1498294,79649,79649,39424,39424,75212,75212,70811,70811,107293,107293,59458,59458,87865,87865,511451,511451,70014,70014,64942,64942,65711,65711,184566,184566,74936,74936,44876,44876,59630,59630,47691,47691,69130,69130,98071,98071,101779,101779,173610,173610,46710,46710
As	105226,105226,31399,31399,35308,35308,0,0,52397,52397,34021,34021,84510,84510,77379,77379,451238,451238,273156,273156,37946,37946,46651,46651,42604,42604,37099,37099,56764,56764,280530,280530,41951,41951,34732,34732,65592,65592,2481276,2481276,48384,48384,658501,658501,43896,43896,44629,44629,221653,221653,49881,49881,178280,178280,50789,50789,54949,54949,64834,64834,118693,118693,105313,105313,112758,112758,67108,67108,113200,113200,96558,96558,106928,106928,1175942,1175942,73724,73724,71983,71983,45967,45967,58159,58159,201945,201945,59582,59582,1505752,1505752,113599,113599,53126,53126,77843,77843,63673,63673,72315,72315,306047,306047,144639,144639,209646,209646,57825,57825,65670,65670,58129,58129,68745,68745,52161,52161,418887,418887,57373,57373,80852,80852,94861,94861,60664,60664,1208014,1208014,372437,372437,1065445,1065445,57152,57152,53951,53951,40988,40988,172921,172921,66202,66202,63558,63558,59401,59401,58230,58230,59767,59767,65581,65581,65495,65495,1430983,1430983,1498294,1498294,79649,79649,39424,39424,75212,75212,70811,70811,107293,107293,59458,59458,87865,87865,511451,511451,70014,70014,64942,64942,65711,65711,184566,184566,74936,74936,44876,44876,59630,59630,47691,47691,69130,69130,98071,98071,101779,101779,173610,173610,46710,46710
At	115521,115521,48636,48636,57425,57425,52397,52397,0,0,40792,40792,109499,109499,97926,97926,474259,474259,293449,293449,51567,51567,63936,63936,60685,60685,60554,60554,68561,68561,285465,285465,51946,51946,38537,38537,86293,86293,2496799,2496799,37591,37591,663610,663610,55567,55567,65556,65556,231588,231588,66788,66788,173009,173009,64234,64234,73530,73530,86083,86083,138426,138426,129058,129058,134497,134497,78775,78775,127613,127613,111307,111307,119683,119683,1193545,1193545,75669,75669,90760,90760,62896,62896,72788,72788,227242,227242,78071,78071,1521777,1521777,131502,131502,64617,64617,85916,85916,72896,72896,94156,94156,312488,312488,166008,166008,235951,235951,72008,72008,82197,82197,79016,79016,82284,82284,67054,67054,432658,432658,70014,70014,87851,87851,113020,113020,76039,76039,1229703,1229703,400178,400178,1041440,1041440,75137,75137,69212,69212,56497,56497,186898,186898,63665,63665,78391,78391,73930,73930,70499,70499,76844,76844,84916,84916,84062,84062,1468462,1468462,1482581,1482581,109924,109924,53441,53441,92299,92299,93440,93440,124086,124086,81115,81115,108534,108534,531712,531712,89595,89595,81369,81369,83238,83238,198221,198221,92093,92093,59563,59563,78177,78177,71232,71232,84687,84687,115322,115322,120806,120806,188235,188235,60467,60467
But	115521,115521,48636,48636,57425,57425,52397,52397,0,0,40792,40792,109499,109499,97926,97926,474259,474259,293449,293449,51567,51567,63936,63936,60685,60685,60554,60554,68561,68561,285465,285465,51946,51946,38537,38537,86293,86293,2496799,2496799,37591,37591,663610,663610,55567,55567,65556,65556,231588,231588,66788,66788,173009,173009,64234,64234,73530,73530,86083,86083,138426,138426,129058,129058,134497,134497,78775,78775,127613,127613,111307,111307,119683,119683,1193545,1193545,75669,75669,90760,90760,62896,62896,72788,72788,227242,227242,78071,78071,1521777,1521777,131502,131502,64617,64617,85916,85916,72896,72896,94156,94156,312488,312488,166008,166008,235951,235951,72008,72008,82197,82197,79016,79016,82284,82284,67054,67054,432658,432658,70014,70014,87851,87851,113020,113020,76039,76039,1229703,1229703,400178,400178,1041440,1041440,75137,75137,69212,69212,56497,56497,186898,186898,63665,63665,78391,78391,73930,73930,70499,70499,76844,76844,84916,84916,84062,84062,1468462,1468462,1482581,1482581,109924,109924,53441,53441,92299,92299,93440,93440,124086,124086,81115,81115,108534,108534,531712,531712,89595,89595,81369,81369,83238,83238,198221,198221,92093,92093,59563,59563,78177,78177,71232,71232,84687,84687,115322,115322,120806,120806,188235,188235,60467,60467
